pos,R,G,B
0,0,0,0
0.0039215686,0.00078,0.00005,0.000022
0.0078431373,0.00294,0.000095,0.000036
0.0117647059,0.006548,0.000042,0.000014
0.0156862745,0.011145,0.000018,0.000006
0.0196078431,0.016737,0.000005,0.000002
0.0235294118,0.023289,0.000001,0
0.0274509804,0.030788,0.000002,0.000001
0.031372549,0.039236,0,0
0.0352941176,0.048032,0.000002,0.000001
0.0392156863,0.056603,0.000004,0.000001
0.0431372549,0.064985,0.000005,0.000002
0.0470588235,0.073202,0.000005,0.000002
0.0509803922,0.081271,0.000006,0.000002
0.0549019608,0.089209,0.000006,0.000002
0.0588235294,0.097028,0.000006,0.000002
0.062745098,0.10474,0.000006,0.000002
0.0666666667,0.112353,0.000006,0.000002
0.0705882353,0.119876,0.000005,0.000002
0.0745098039,0.127318,0.000005,0.000001
0.0784313725,0.134683,0.000004,0.000001
0.0823529412,0.141978,0.000002,0.000001
0.0862745098,0.149208,0.000001,0
0.0901960784,0.156374,0.000002,0.000001
0.0941176471,0.163482,0.000004,0.000001
0.0980392157,0.170538,0.000005,0.000002
0.1019607843,0.177545,0.000007,0.000002
0.1058823529,0.184506,0.000007,0.000002
0.1098039216,0.191423,0.000007,0.000002
0.1137254902,0.1983,0.000006,0.000002
0.1176470588,0.205139,0.000004,0.000001
0.1215686275,0.211943,0.000001,0
0.1254901961,0.218708,0.000003,0.000001
0.1294117647,0.22544,0.000006,0.000002
0.1333333333,0.232143,0.000007,0.000002
0.137254902,0.238817,0.000007,0.000002
0.1411764706,0.245465,0.000006,0.000002
0.1450980392,0.252088,0.000004,0.000001
0.1490196078,0.258686,0.000001,0
0.1529411765,0.265257,0.000004,0.000001
0.1568627451,0.271808,0.000007,0.000002
0.1607843137,0.278338,0.000008,0.000002
0.1647058824,0.284849,0.000007,0.000002
0.168627451,0.291343,0.000004,0.000001
0.1725490196,0.297819,0.000001,0
0.1764705882,0.304274,0.000005,0.000002
0.1803921569,0.310715,0.000007,0.000002
0.1843137255,0.317142,0.000008,0.000002
0.1882352941,0.323556,0.000006,0.000002
0.1921568627,0.329957,0.000002,0.000001
0.1960784314,0.336343,0.000003,0.000001
0.2,0.342716,0.000007,0.000002
0.2039215686,0.34908,0.000008,0.000002
0.2078431373,0.355433,0.000007,0.000002
0.2117647059,0.361778,0.000003,0.000001
0.2156862745,0.368112,0.000002,0.000001
0.2196078431,0.374436,0.000006,0.000002
0.2235294118,0.380752,0.000008,0.000002
0.2274509804,0.387062,0.000007,0.000002
0.231372549,0.393365,0.000004,0.000001
0.2352941176,0.399662,0.000001,0
0.2392156863,0.40595,0.000006,0.000002
0.2431372549,0.412233,0.000008,0.000002
0.2470588235,0.418512,0.000007,0.000002
0.2509803922,0.424788,0.000004,0.000001
0.2549019608,0.431058,0.000001,0
0.2588235294,0.437323,0.000006,0.000002
0.262745098,0.443585,0.000008,0.000002
0.2666666667,0.449845,0.000007,0.000002
0.2705882353,0.456103,0.000004,0.000001
0.2745098039,0.462358,0.000001,0
0.2784313725,0.46861,0.000006,0.000002
0.2823529412,0.474861,0.000008,0.000002
0.2862745098,0.481111,0.000007,0.000002
0.2901960784,0.487361,0.000004,0.000001
0.2941176471,0.49361,0.000002,0.000001
0.2980392157,0.499547,0.001353,0.000002
0.3019607843,0.504986,0.004935,0.000002
0.3058823529,0.510096,0.010089,0
0.3098039216,0.515248,0.015205,0.000002
0.3137254902,0.52042,0.020376,0.000002
0.3176470588,0.52561,0.025608,0
0.3215686275,0.53084,0.030801,0.000002
0.3254901961,0.536088,0.036054,0.000002
0.3294117647,0.541351,0.041357,0
0.3333333333,0.546578,0.046632,0.000002
0.337254902,0.551684,0.052155,0.00014
0.3411764706,0.556563,0.058279,0.000604
0.3450980392,0.561423,0.064188,0.001025
0.3490196078,0.566271,0.069895,0.001435
0.3529411765,0.571106,0.075436,0.001829
0.3568627451,0.575926,0.080847,0.002185
0.3607843137,0.580735,0.086131,0.002531
0.3647058824,0.585531,0.091312,0.002853
0.368627451,0.590314,0.096405,0.003147
0.3725490196,0.595087,0.101412,0.00343
0.3764705882,0.599847,0.106353,0.003681
0.3803921569,0.604596,0.111228,0.003915
0.3843137255,0.609336,0.116044,0.004134
0.3882352941,0.614063,0.120814,0.004321
0.3921568627,0.618782,0.125535,0.004497
0.3960784314,0.62349,0.130216,0.004648
0.4,0.628189,0.13486,0.00478
0.4039215686,0.632879,0.139469,0.0049
0.4078431373,0.637559,0.144051,0.004989
0.4117647059,0.642231,0.148602,0.005069
0.4156862745,0.646894,0.153129,0.005126
0.4196078431,0.651552,0.157627,0.005156
0.4235294118,0.656207,0.162096,0.005163
0.4274509804,0.660857,0.166543,0.005137
0.431372549,0.665504,0.170965,0.005089
0.4352941176,0.670146,0.175369,0.00501
0.4392156863,0.674785,0.179753,0.004906
0.4431372549,0.67942,0.18412,0.004777
0.4470588235,0.684052,0.188472,0.004617
0.4509803922,0.688682,0.192809,0.004436
0.4549019608,0.693307,0.197135,0.004222
0.4588235294,0.697931,0.201448,0.003986
0.462745098,0.702551,0.205752,0.003723
0.4666666667,0.70717,0.210046,0.003432
0.4705882353,0.711785,0.214333,0.00312
0.4745098039,0.716397,0.218613,0.002779
0.4784313725,0.721008,0.222886,0.002417
0.4823529412,0.725615,0.227155,0.002028
0.4862745098,0.730221,0.231419,0.001616
0.4901960784,0.734824,0.235681,0.001183
0.4941176471,0.739426,0.239938,0.000723
0.4980392157,0.744024,0.244197,0.00025
0.5019607843,0.748547,0.24855,0.000003
0.5058823529,0.752996,0.252996,0
0.5098039216,0.757439,0.257442,0.000003
0.5137254902,0.761882,0.261883,0.000001
0.5176470588,0.766321,0.266323,0.000002
0.5215686275,0.770758,0.27076,0.000002
0.5254901961,0.775194,0.275195,0.000002
0.5294117647,0.779628,0.27963,0.000003
0.5333333333,0.784062,0.284062,0
0.537254902,0.788494,0.288495,0.000003
0.5411764706,0.792926,0.292926,0.000001
0.5450980392,0.797357,0.297358,0.000002
0.5490196078,0.801789,0.30179,0.000002
0.5529411765,0.806221,0.306222,0.000002
0.5568627451,0.810654,0.310655,0.000003
0.5607843137,0.815088,0.315088,0.000001
0.5647058824,0.819522,0.319523,0.000003
0.568627451,0.823959,0.323959,0.000001
0.5725490196,0.828396,0.328397,0.000003
0.5764705882,0.832836,0.332836,0.000002
0.5803921569,0.837278,0.337278,0.000002
0.5843137255,0.841722,0.341722,0.000002
0.5882352941,0.846169,0.346169,0.000001
0.5921568627,0.850615,0.350623,0.000021
0.5960784314,0.855059,0.355085,0.000063
0.6,0.859502,0.359554,0.000134
0.6039215686,0.863943,0.364032,0.00023
0.6078431373,0.868383,0.368519,0.000356
0.6117647059,0.872822,0.373014,0.000512
0.6156862745,0.87726,0.377518,0.000698
0.6196078431,0.881697,0.38203,0.000921
0.6235294118,0.886133,0.386552,0.001176
0.6274509804,0.890569,0.391083,0.001472
0.631372549,0.895004,0.395624,0.001804
0.6352941176,0.899439,0.400173,0.002178
0.6392156863,0.903874,0.404733,0.002595
0.6431372549,0.908308,0.409303,0.003054
0.6470588235,0.912743,0.413882,0.003563
0.6509803922,0.917178,0.418472,0.004116
0.6549019608,0.921613,0.423072,0.004724
0.6588235294,0.926049,0.427682,0.005381
0.662745098,0.930485,0.432303,0.006094
0.6666666667,0.934607,0.437216,0.008917
0.6705882353,0.938565,0.442281,0.012947
0.6745098039,0.942481,0.447388,0.01744
0.6784313725,0.946417,0.452481,0.021976
0.6823529412,0.950378,0.457558,0.026534
0.6862745098,0.95439,0.462598,0.03091
0.6901960784,0.958433,0.467619,0.035254
0.6941176471,0.962508,0.472621,0.039538
0.6980392157,0.966643,0.477581,0.043422
0.7019607843,0.970362,0.482894,0.050044
0.7058823529,0.973425,0.488745,0.060315
0.7098039216,0.976058,0.494933,0.072105
0.7137254902,0.978668,0.501125,0.08307
0.7176470588,0.981255,0.507319,0.093428
0.7215686275,0.983237,0.514083,0.101272
0.7254901961,0.984343,0.521648,0.106224
0.7294117647,0.984899,0.529669,0.109865
0.7333333333,0.985344,0.537718,0.113738
0.737254902,0.985679,0.545792,0.117851
0.7411764706,0.985916,0.553878,0.122249
0.7450980392,0.986102,0.561935,0.127065
0.7490196078,0.98624,0.569961,0.132309
0.7529411765,0.986332,0.577956,0.137936
0.7568627451,0.986381,0.585919,0.143915
0.7607843137,0.986387,0.593854,0.150217
0.7647058824,0.986349,0.601759,0.156821
0.768627451,0.986263,0.609641,0.163725
0.7725490196,0.986132,0.617498,0.170897
0.7764705882,0.985957,0.62533,0.178314
0.7803921569,0.98574,0.633138,0.185962
0.7843137255,0.98548,0.640922,0.193829
0.7882352941,0.985172,0.648686,0.201923
0.7921568627,0.984821,0.65643,0.210227
0.7960784314,0.984427,0.664151,0.218724
0.8,0.983994,0.671851,0.227408
0.8039215686,0.983521,0.679528,0.236274
0.8078431373,0.983006,0.687186,0.245328
0.8117647059,0.98245,0.694823,0.254576
0.8156862745,0.981858,0.702439,0.263997
0.8196078431,0.981232,0.710031,0.273588
0.8235294118,0.980575,0.717601,0.28335
0.8274509804,0.979888,0.725146,0.29328
0.831372549,0.979167,0.732669,0.303404
0.8352941176,0.978421,0.740167,0.313702
0.8392156863,0.977655,0.747637,0.324171
0.8431372549,0.97687,0.75508,0.334809
0.8470588235,0.976071,0.762493,0.345618
0.8509803922,0.975261,0.769876,0.356598
0.8549019608,0.974436,0.777229,0.36778
0.8588235294,0.973607,0.78455,0.37914
0.862745098,0.972781,0.791835,0.390677
0.8666666667,0.971962,0.799084,0.402394
0.8705882353,0.971156,0.806294,0.414291
0.8745098039,0.970368,0.813463,0.426372
0.8784313725,0.969603,0.82059,0.438643
0.8823529412,0.968862,0.827675,0.45113
0.8862745098,0.968158,0.834711,0.46381
0.8901960784,0.967498,0.841699,0.476686
0.8941176471,0.966892,0.848633,0.489761
0.8980392157,0.966346,0.855513,0.50304
0.9019607843,0.965868,0.862336,0.516526
0.9058823529,0.965466,0.869099,0.530227
0.9098039216,0.965149,0.875798,0.544146
0.9137254902,0.964925,0.882432,0.558299
0.9176470588,0.964802,0.888995,0.572706
0.9215686275,0.964794,0.895486,0.587354
0.9254901961,0.964912,0.901898,0.602255
0.9294117647,0.965166,0.908229,0.617418
0.9333333333,0.96557,0.914473,0.632857
0.937254902,0.966136,0.920625,0.648586
0.9411764706,0.966876,0.92668,0.664624
0.9450980392,0.967805,0.932632,0.680991
0.9490196078,0.968937,0.938474,0.697711
0.9529411765,0.970288,0.944197,0.714813
0.9568627451,0.971875,0.949793,0.732332
0.9607843137,0.973717,0.955252,0.750309
0.9647058824,0.975834,0.96056,0.768793
0.968627451,0.97825,0.965704,0.787843
0.9725490196,0.980985,0.970657,0.807653
0.9764705882,0.984078,0.975404,0.828198
0.9803921569,0.987607,0.97988,0.849837
0.9843137255,0.992738,0.983542,0.873379
0.9882352941,0.997446,0.987089,0.8998
0.9921568627,1.001623,0.990279,0.931788
0.9960784314,1.00528,0.99376,0.962384
1,1.010192,0.996584,0.994029
